image_rel,session,group,set_label,category,human_reject,assign_shift_px,assign_corr,drift_info_px,contrast_first,spine_drop,unc_dist_px,drift_df_px,drift_local_px,z_match_corr,z_neighbor_corr,bead_fraction,bright_cv,low_assign_corr,low_contrast,low_spine_drop,low_z_match,low_z_neighbor
keep/20260909_cnt_2_pos1__highmag_4_set0.png,20260909,cnt_2_pos1__highmag_4_,0.0,9,False,1.25,0.4840901858619737,5.385164807134504,2.0,0.5,0.0,5.460082416960389,5.153882032022076,0.7238601830771484,0.9637130157729167,0.10133333333333333,1.122910246352003,-0.4840901858619737,-2.0,-0.5,-0.7238601830771484,-0.9637130157729167
keep/20260909_cnt_2_pos1__highmag_4_set1.png,20260909,cnt_2_pos1__highmag_4_,1.0,9,False,2.5,0.4151106567021732,10.44030650891055,1.5,0.6666666666666666,0.0,9.962429422585638,8.223442101699263,0.6543216228874034,0.9488469140025566,0.053691275167785234,1.168555138211321,-0.4151106567021732,-1.5,-0.6666666666666666,-0.6543216228874034,-0.9488469140025566
keep/20260909_cnt_2_pos1__highmag_4_set3.png,20260909,cnt_2_pos1__highmag_4_,3.0,9,False,6.373774391990981,0.4241864031241048,12.649110640673518,1.0,0.6666666666666666,0.0,12.730377056474016,11.78187166794818,0.8009763000916422,0.9698020523154185,0.006798096532970768,1.8574713296398548,-0.4241864031241048,-1.0,-0.6666666666666666,-0.8009763000916422,-0.9698020523154185
keep/20260909_cnt_2_pos1__highmag_5_set0.png,20260909,cnt_2_pos1__highmag_5_,0.0,9,False,1.25,0.6109863415329435,5.385164807134504,2.5,0.8,0.0,5.062114182829147,5.1478150704935,0.8670635528530339,0.9645394501387157,0.03741007194244604,1.1201238535579856,-0.6109863415329435,-2.5,-0.8,-0.8670635528530339,-0.9645394501387157
keep/20260909_cnt_2_pos1__highmag_5_set1.png,20260909,cnt_2_pos1__highmag_5_,1.0,9,False,2.9261749776799064,0.4809633722791738,12.806248474865695,1.0,1.0,0.9549999833106996,12.93493332027653,7.110731326663946,0.07250419431910625,0.9626903994595095,0.03624733475479744,1.1560220636709122,-0.4809633722791738,-1.0,-1.0,-0.07250419431910625,-0.9626903994595095
keep/20260909_cnt_2_pos1__highmag_5_set2.png,20260909,cnt_2_pos1__highmag_5_,2.0,9,False,2.0155644370746373,0.565543288316659,10.198039027185567,3.0,0.5,0.9549999833106996,9.762812094883316,8.246211251235321,0.6296624640773635,0.9330096683069926,0.005886681383370125,1.1933490314530273,-0.565543288316659,-3.0,-0.5,-0.6296624640773635,-0.9330096683069926
keep/20260909_cnt_2_pos1__highmag_5_set3.png,20260909,cnt_2_pos1__highmag_5_,3.0,9,False,2.7613402542968157,0.5869797438949506,13.41640786499874,1.0,1.0,0.0,13.200378782444083,11.180339887498947,0.8433652341072707,0.9751297073891017,0.022644265887509132,1.1837160685671366,-0.5869797438949506,-1.0,-1.0,-0.8433652341072707,-0.9751297073891017
keep/20260909_cnt_2_pos1__highmag_6_set0.png,20260909,cnt_2_pos1__highmag_6_,0.0,9,False,1.346291201783626,0.7189167382919245,5.656854249492381,1.0,1.0,0.0,6.189709201569974,6.189709201569974,0.8895355335055327,0.961062368187773,0.013605442176870748,1.09735962468394,-0.7189167382919245,-1.0,-1.0,-0.8895355335055327,-0.961062368187773
keep/20260909_cnt_2_pos1__highmag_6_set1.png,20260909,cnt_2_pos1__highmag_6_,1.0,9,False,1.274754878398196,0.6415801713311028,7.211102550927978,1.0,1.0,0.0,7.25,8.00390529679106,0.774567702530096,0.9746996111044284,0.027149321266968326,1.118082288783018,-0.6415801713311028,-1.0,-1.0,-0.774567702530096,-0.9746996111044284
keep/20260909_cnt_2_pos1__highmag_6_set3.png,20260909,cnt_2_pos1__highmag_6_,3.0,9,False,1.118033988749895,0.5160549070406926,14.866068747318506,3.0,0.6666666666666666,0.9549999833106996,14.718186029535026,12.673791855636576,0.7334938093890873,0.9635820819016692,0.012968299711815562,1.0684165723427375,-0.5160549070406926,-3.0,-0.6666666666666666,-0.7334938093890873,-0.9635820819016692
keep/20260909_cnt_2_pos1__highmag_7_set2.png,20260909,cnt_2_pos1__highmag_7_,2.0,9,False,0.3535533905932738,0.3456938917806072,16.1245154965971,1.5,0.6666666666666666,0.0,15.90990257669732,12.992786460186284,0.7446116255008347,0.9478325556534095,0.09444021325209444,0.8767007711323344,-0.3456938917806072,-1.5,-0.6666666666666666,-0.7446116255008347,-0.9478325556534095
keep/20260909_cnt_2_pos1__highmag_7_set3.png,20260909,cnt_2_pos1__highmag_7_,3.0,9,False,69.80016117459901,0.2737899367874268,14.560219778561036,1.5,0.6666666666666666,7.513599872589111,14.320003491619683,25.809397513308983,0.7409404507586951,0.9246998402253637,0.06426332288401254,0.9657020821847246,-0.2737899367874268,-1.5,-0.6666666666666666,-0.7409404507586951,-0.9246998402253637
keep/20260909_cnt_2_pos1__highmag_8_set0.png,20260909,cnt_2_pos1__highmag_8_,0.0,9,False,1.0,0.7821425013572888,8.602325267042627,3.0,0.3333333333333333,0.0,8.951256894984079,7.158910531638177,0.888394709310877,0.9630592126691156,0.037535410764872525,1.1636018174696965,-0.7821425013572888,-3.0,-0.3333333333333333,-0.888394709310877,-0.9630592126691156
