image_rel,session,group,set_label,category,human_reject,assign_shift_px,assign_corr,drift_info_px,contrast_first,spine_drop,unc_dist_px,drift_df_px,drift_local_px
keep/20260623_3_pos1__highmag_6_set0.png,20260623,3_pos1__highmag_6_,0.0,9,False,3.132491021535417,0.8803133702580076,1.252996419317346,1.375,1.1550802139037433,0.0,0.31622776601683794,0.9433981132056605
keep/20260623_3_pos1__highmag_6_set1.png,20260623,3_pos1__highmag_6_,1.0,9,False,2.0155644370746373,0.8469416137533183,0.5385164868010179,2.5555555555555554,0.5719063545150502,2.3243000507354736,0.4,0.223606797749979
keep/20260623_3_pos1__highmag_6_set2.png,20260623,3_pos1__highmag_6_,2.0,9,False,2.692582403567252,0.7481936456176981,1.0295630154012958,1.588235294117647,1.01440329218107,0.0,1.019803902718557,0.22360679774997896
keep/20260623_3_pos1__highmag_7_set0.png,20260623,3_pos1__highmag_7_,0.0,9,False,1.9525624189766635,0.6913695437804547,3.1575306476874805,1.5,1.0196078431372548,1.3693000078201294,2.3194827009486403,0.7211102550927979
keep/20260623_3_pos1__highmag_7_set2.png,20260623,3_pos1__highmag_7_,2.0,9,False,3.0516389039334255,0.5831824714233846,1.0770329653008077,1.6521739130434783,0.8776315789473684,0.9549999833106995,0.42426406871192845,0.223606797749979
keep/20260623_4_pos1__highmag_1_set0.png,20260623,4_pos1__highmag_1_,0.0,9,False,1.6770509831248424,0.7940692441736941,1.1180339799534125,0.5714285714285714,0.7556818181818182,0.0,1.5,0.36055512754639896
keep/20260623_4_pos1__highmag_1_set1.png,20260623,4_pos1__highmag_1_,1.0,9,False,2.0155644370746373,0.726337478278404,1.2083046094451002,1.3870967741935485,1.0381395348837208,0.0,2.4186773244895647,0.3999999999999999
keep/20260623_4_pos1__highmag_1_set2.png,20260623,4_pos1__highmag_1_,2.0,9,False,3.473110997362451,0.6162153234959478,0.8062257792656828,2.0,0.8888888888888888,0.0,0.5000000000000004,0.14142135623730953
keep/20260623_4_pos1__highmag_2_set0.png,20260623,4_pos1__highmag_2_,0.0,9,False,2.0,0.7584516677895065,1.1000000178813931,3.6666666666666665,1.090909090909091,0.0,0.608276253029822,0.42426406871192857
keep/20260623_4_pos1__highmag_2_set1.png,20260623,4_pos1__highmag_2_,1.0,9,False,1.118033988749895,0.7235876287133568,3.3015148038438356,0.8181818181818182,0.8148148148148148,0.9549999833106995,0.7615773105863908,3.3301651610693423
keep/20260623_4_pos1__highmag_2_set2.png,20260623,4_pos1__highmag_2_,2.0,9,False,2.3048861143232218,0.5601943126693177,6.70074629861799,1.5,0.8888888888888888,0.0,4.011234224026316,0.4
keep/20260623_4_pos1__highmag_3_set0.png,20260623,4_pos1__highmag_3_,0.0,9,False,1.7677669529663689,0.8658002634118837,0.5099019560350514,2.0,0.5862068965517241,2.738600015640259,0.44721359549995787,0.28284271247461906
keep/20260623_4_pos1__highmag_4_set0.png,20260623,4_pos1__highmag_4_,0.0,9,False,0.25,0.6974490112817002,0.806225786658729,1.6153846153846154,0.9285714285714286,0.0,2.1023796041628637,0.608276253029822
keep/20260623_4_pos1__highmag_4_set1.png,20260623,4_pos1__highmag_4_,1.0,9,False,1.8027756377319946,0.5465985843945542,2.109502311538005,1.2692307692307692,1.0411255411255411,0.0,0.3605551275463992,1.91049731745428
keep/20260623_4_pos1__highmag_4_set2.png,20260623,4_pos1__highmag_4_,2.0,9,False,2.3717082451262845,0.583227229028106,2.647640465334488,0.8780487804878049,0.7524801587301587,0.9549999833106995,2.433105012119288,0.14142135623730953
keep/20260623_4_pos1__highmag_5_set0.png,20260623,4_pos1__highmag_5_,0.0,9,False,0.5,0.6404779863803981,2.999999961555004,4.111111111111111,1.0945945945945947,0.0,1.9313207915827963,0.223606797749979
keep/20260623_4_pos1__highmag_5_set1.png,20260623,4_pos1__highmag_5_,1.0,9,False,1.0606601717798212,0.6415586312566255,3.8013156332896627,0.9696969696969697,0.5671875000000001,3.2792999744415283,2.1,0.447213595499958
keep/20260623_4_pos1__highmag_5_set2.png,20260623,4_pos1__highmag_5_,2.0,9,False,1.118033988749895,0.5488271252287181,2.7166155806055055,2.909090909090909,0.22418478260869565,0.9549999833106995,1.1180339887498947,0.31622776601683794
keep/20260623_4_pos1__highmag_6_set0.png,20260623,4_pos1__highmag_6_,0.0,9,False,1.4577379737113252,0.6880482363745617,1.1045360883627573,0.32432432432432434,0.859775641025641,0.0,0.22360679774997896,0.316227766016838
keep/20260623_4_pos1__highmag_6_set1.png,20260623,4_pos1__highmag_6_,1.0,9,False,2.6575364531836625,0.6853213114360655,0.500000001490116,1.4615384615384615,0.9350877192982456,0.0,0.5099019513592784,0.4123105625617661
keep/20260623_5_pos1__highmag_1_set0.png,20260623,5_pos1__highmag_1_,0.0,9,False,2.0155644370746373,0.6109767874044212,11.031772261405862,0.7959183673469388,0.6997728010386238,0.0,7.710382610480494,7.723341245859852
keep/20260623_5_pos1__highmag_2_set0.png,20260623,5_pos1__highmag_2_,0.0,9,False,1.25,0.8006171348076138,2.402082428838279,3.142857142857143,0.7727272727272727,0.0,1.1999999999999997,0.223606797749979
keep/20260623_5_pos1__highmag_2_set1.png,20260623,5_pos1__highmag_2_,1.0,9,False,2.1505813167606567,0.682614213864172,11.720068454884276,0.9411764705882353,0.8333333333333334,1.909999966621399,6.200806399170998,0.6082762530298219
keep/20260623_5_pos1__highmag_3_set0.png,20260623,5_pos1__highmag_3_,0.0,9,False,1.6770509831248424,0.7568713533802695,1.0049875815357334,3.4,1.0588235294117647,0.0,0.22360679774997894,0.223606797749979
keep/20260623_5_pos1__highmag_3_set1.png,20260623,5_pos1__highmag_3_,1.0,9,False,2.5495097567963922,0.6334830551557177,6.174139511910926,1.2727272727272727,1.1785714285714286,0.0,3.8,0.6324555320336759
keep/20260623_5_pos1__highmag_3_set2.png,20260623,5_pos1__highmag_3_,2.0,9,False,3.2882366094914763,0.5342694825560569,12.093386530404398,1.0789473684210527,1.5060975609756098,0.0,5.748912940721924,1.40356688476182
keep/20260623_5_pos1__highmag_4_set0.png,20260623,5_pos1__highmag_4_,0.0,9,False,1.5206906325745548,0.8126025189998016,1.334166443046601,1.8888888888888888,0.585139318885449,1.3693000078201294,1.0440306508910548,1.004987562112089
keep/20260623_5_pos1__highmag_4_set1.png,20260623,5_pos1__highmag_4_,1.0,2,True,1.2747548783981961,0.5931145989059198,2.499999997019768,3.0,0.8333333333333334,36.70429992675781,1.0049875621120887,1.91049731745428
keep/20260623_5_pos1__highmag_5_set0.png,20260623,5_pos1__highmag_5_,0.0,9,False,1.9525624189766635,0.8494181755792938,2.022374888992873,2.526315789473684,0.6597222222222223,0.9549999833106995,0.761577310586391,0.5099019513592785
keep/20260623_5_pos1__highmag_5_set1.png,20260623,5_pos1__highmag_5_,1.0,9,False,3.3354160160315836,0.6154888307929808,2.280350851766578,1.9166666666666667,0.7485822306238185,0.0,1.2041594578792296,0.316227766016838
keep/20260623_5_pos1__highmag_5_set2.png,20260623,5_pos1__highmag_5_,2.0,9,False,2.9154759474226504,0.7529590022544655,5.423098751667121,1.2470588235294118,1.2996096291476902,1.3693000078201294,0.41231056256176596,2.302172886644268
keep/20260623_5_pos1__highmag_6_set0.png,20260623,5_pos1__highmag_6_,0.0,9,False,1.5206906325745548,0.6204511459047811,10.417293287964245,1.1794871794871795,0.7296863863150391,1.909999966621399,5.108815909777919,0.7071067811865476
keep/20260623_5_pos1__highmag_6_set1.png,20260623,5_pos1__highmag_6_,1.0,9,False,3.8078865529319543,0.4882136071234136,5.500909017306986,2.888888888888889,1.0384615384615385,2.738600015640259,4.509988913511872,0.806225774829855
keep/20260623_5_pos1__highmag_7_set0.png,20260623,5_pos1__highmag_7_,0.0,9,False,1.8027756377319946,0.6796226874971015,5.514526320845367,3.7,0.7459459459459459,0.0,0.8544003745317532,2.1095023109728985
keep/20260623_5_pos1__highmag_7_set1.png,20260623,5_pos1__highmag_7_,1.0,2,True,1.118033988749895,0.7460584202356448,11.859595229273983,2.3333333333333335,0.7987012987012986,15.062299728393555,5.315072906367325,0.5830951894845301
keep/20260623_5_pos1__highmag_7_set2.png,20260623,5_pos1__highmag_7_,2.0,9,False,4.00780488547035,0.6171174088496086,11.194641487446155,3.0,0.9607843137254902,2.738600015640259,10.650821564555478,0.223606797749979
keep/20260623_6_pos1__highmag_1_set0.png,20260623,6_pos1__highmag_1_,0.0,9,False,0.9013878188659973,0.8050143985212652,2.473863378984659,2.5,1.2,0.0,63.968898693036756,52.35198181540027
keep/20260623_6_pos1__highmag_1_set1.png,20260623,6_pos1__highmag_1_,1.0,2,True,0.5,0.7170488110646891,0.8062257794505087,2.0,1.05,44.000205993652344,63.56917491992483,34.373972711922605
keep/20260623_6_pos1__highmag_2_set0.png,20260623,6_pos1__highmag_2_,0.0,9,False,1.5,0.6741431207696588,1.5297058891461333,1.4285714285714286,1.015,0.0,0.7,1.0
keep/20260623_6_pos1__highmag_2_set1.png,20260623,6_pos1__highmag_2_,1.0,9,False,1.0606601717798212,0.6541734512804347,1.3601470736610919,1.1785714285714286,0.8484848484848485,0.0,0.4123105625617661,0.316227766016838
keep/20260623_6_pos1__highmag_2_set2.png,20260623,6_pos1__highmag_2_,2.0,9,False,1.118033988749895,0.5851531981141015,11.610770742668844,3.1875,0.7947712418300653,0.0,4.850773134253962,3.753664875824692
keep/20260623_6_pos1__highmag_3_set0.png,20260623,6_pos1__highmag_3_,0.0,9,False,1.0307764064044151,0.8217863250018779,1.4142135714346675,1.2222222222222223,1.1103896103896103,0.9549999833106995,0.9899494936611667,0.31622776601683794
keep/20260623_6_pos1__highmag_3_set1.png,20260623,6_pos1__highmag_3_,1.0,9,False,2.6575364531836625,0.6568304038336494,1.3152946499143279,1.6,0.6818181818181818,0.0,1.2369316876852978,0.7071067811865475
keep/20260623_6_pos1__highmag_3_set2.png,20260623,6_pos1__highmag_3_,2.0,9,False,1.9525624189766635,0.7091252659069863,0.5830951920400581,2.4583333333333335,0.935593220338983,0.9549999833106995,0.608276253029822,0.5385164807134505
keep/20260623_6_pos1__highmag_4_set0.png,20260623,6_pos1__highmag_4_,0.0,9,False,2.3717082451262845,0.8466365346902418,2.308679240365611,0.8461538461538461,0.4220779220779221,1.3693000078201294,49.566520959211964,24.939326374222702
keep/20260623_6_pos1__highmag_4_set1.png,20260623,6_pos1__highmag_4_,1.0,9,False,2.358495283014151,0.7213404158979293,3.1256999811135087,4.1,0.9370988446726574,0.0,78.34092161827049,29.65434200922354
keep/20260623_6_pos1__highmag_4_set2.png,20260623,6_pos1__highmag_4_,2.0,9,False,2.1505813167606567,0.7140092244825494,6.307138752667901,5.428571428571429,0.9342105263157894,0.0,61.61168720299745,30.513275799232044
keep/20260623_6_pos1__highmag_5_set0.png,20260623,6_pos1__highmag_5_,0.0,9,False,1.346291201783626,0.8307303178779297,0.5656854270565804,1.12,0.6249999999999999,0.0,0.5,0.31622776601683794
keep/20260623_6_pos1__highmag_5_set1.png,20260623,6_pos1__highmag_5_,1.0,9,False,1.8200274723201295,0.8039426645423574,1.2000000014901158,2.076923076923077,0.39120370370370366,0.0,0.14142135623730953,0.223606797749979
keep/20260623_6_pos1__highmag_6_set0.png,20260623,6_pos1__highmag_6_,0.0,9,False,1.346291201783626,0.8023808813239313,0.36055512961281816,3.4375,0.7588932806324111,0.0,0.223606797749979,0.30000000000000004
keep/20260623_6_pos1__highmag_6_set2.png,20260623,6_pos1__highmag_6_,2.0,9,False,1.8027756377319946,0.6630843523811232,7.6006579616231225,1.4782608695652173,0.3204334365325077,0.9549999833106995,4.001249804748512,0.316227766016838
keep/20260701_pos1__highmag_1_set0.png,20260701,pos1__highmag_1_,0.0,9,False,1.0307764064044151,0.7124336580697687,4.459820583098768,3.0,0.6666666666666666,0.0,3.7161808352124095,3.5
keep/20260701_pos1__highmag_1_set1.png,20260701,pos1__highmag_1_,1.0,9,False,0.7071067811865476,0.748784649253559,6.008327531701548,0.5833333333333334,1.0084033613445378,0.0,1.0770329614269012,2.8635642126552705
keep/20260701_pos1__highmag_1_set2.png,20260701,pos1__highmag_1_,2.0,9,False,0.5,0.6715332477364782,6.774215825075512,3.0,0.5833333333333334,0.0,3.8327535793473597,1.3601470508735445
keep/20260701_pos1__highmag_2_set0.png,20260701,pos1__highmag_2_,0.0,9,False,0.7905694150420949,0.8441189170128041,2.701851220254601,3.6666666666666665,0.8522727272727273,0.9549999833106995,1.8110770276274832,1.2999999999999998
keep/20260701_pos1__highmag_2_set1.png,20260701,pos1__highmag_2_,1.0,9,False,0.3535533905932738,0.7694278512533085,6.870953551635547,1.6666666666666667,0.95,0.0,4.220189569201839,4.504442251822083
keep/20260701_pos1__highmag_2_set2.png,20260701,pos1__highmag_2_,2.0,9,False,1.0606601717798212,0.7412401711233737,3.606937778667224,2.7857142857142856,0.5874125874125875,0.0,2.7586228448267454,2.1095023109728985
keep/20260701_pos1__highmag_2_set3.png,20260701,pos1__highmag_2_,3.0,9,False,1.8200274723201295,0.7801457938071821,4.788527927589194,3.6666666666666665,0.8181818181818182,1.3693000078201294,1.0,3.255764119219941
keep/20260701_pos1__highmag_3_set0.png,20260701,pos1__highmag_3_,0.0,9,False,1.118033988749895,0.9518498880085652,1.802775658561501,2.3333333333333335,1.0,0.0,1.1704699910719627,0.316227766016838
keep/20260701_pos1__highmag_3_set1.png,20260701,pos1__highmag_3_,1.0,9,False,3.092329219213245,0.9056059566297857,3.176475945347564,3.232142857142857,0.6680682540458611,1.3693000078201294,1.16619037896906,1.3152946437965904
keep/20260701_pos1__highmag_3_set2.png,20260701,pos1__highmag_3_,2.0,9,False,6.823672031978091,0.8442117025134594,3.8897300677553446,6.0,0.5833333333333334,0.9549999833106995,4.1182520563948,2.3537204591879637
keep/20260701_pos1__highmag_4_set0.png,20260701,pos1__highmag_4_,0.0,9,False,1.25,0.8405482786215147,5.614267586715983,2.25,1.0,0.0,2.6248809496813377,0.5385164807134504
keep/20260701_pos1__highmag_4_set1.png,20260701,pos1__highmag_4_,1.0,9,False,1.5,0.7126461906805732,5.360037520249733,2.5714285714285716,0.9444444444444443,0.9549999833106995,1.9646882704388502,0.42426406871192857
